adc_bits,ber,psnr_db,phase
4,0.0009107589721679688,37.06564456510296,7
5,0.0005362828572591146,39.40616828586427,7
6,0.0004787445068359375,39.84866469000883,7
7,0.0004703203837076823,40.08038252958656,7
8,0.0004382133483886719,40.255033436801845,7
9,0.0004715919494628906,40.296306643808904,7
10,0.0004665056864420573,40.06638051442265,7
