snr_db,ber,psnr_db,phase
0.0,0.30793285369873047,11.393118903310581,7
2.5,0.07233905792236328,18.317387305132492,7
5.0,0.03396177291870117,21.5925261580501,7
7.5,0.013882954915364584,25.414679180602096,7
10.0,0.004827658335367839,30.022165940427023,7
12.5,0.0014944076538085938,34.90649743421717,7
15.0,0.0004607836405436198,39.8419902744305,7
17.5,0.00018978118896484375,43.51129102406135,7
20.0,0.00011316935221354167,45.4777776699575,7
22.5,9.202957153320312e-05,46.22392030380606,7
25.0,8.360544840494792e-05,46.597445960013324,7
